4P/5P/6P,Audited SKUs,Banner,Channel,City,Cluster,Commune,Compliance,Compliance %,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Outlet classification,Product brand,Product category,Product division,Product market,Product sector,Province,Region,SKU,Sales area,Sales region,Sales route,Sales territory,Score,Store area,Store location,Subchannel,Trade Format
6P,1,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,12/15/2015,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 11,Ice Cream,Beverage and Refreshments,Market 6,Sector 11,Province 3,East,SKU 21,Area 3,Reg 3,Route 3,Territory 3,1,St Area 3,Loc 3,Small Supermarkets,MT
6P,3,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,12/15/2015,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 9,Ice Cream,Beverage and Refreshments,Market 6,Sector 10,Province 3,East,SKU 18,Area 3,Reg 3,Route 3,Territory 3,3,St Area 3,Loc 3,Small Supermarkets,MT
6P,3,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,12/15/2015,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 7,Ice Cream,Beverage and Refreshments,Market 5,Sector 8,Province 3,East,SKU 15,Area 3,Reg 3,Route 3,Territory 3,3,St Area 3,Loc 3,Small Supermarkets,MT
6P,9,Banner 73,Supermarkets,City 3,SEAA,Commune 3,0,0.888889,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,12/15/2015,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 1,Skin Care,HPC,Market 1,Sector 1,Province 3,East,SKU 1,Area 3,Reg 3,Route 3,Territory 3,8,St Area 3,Loc 3,Small Supermarkets,MT
6P,5,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,1/15/2016,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 5,Hair,HPC,Market 3,Sector 5,Province 3,East,SKU 10,Area 3,Reg 3,Route 3,Territory 3,5,St Area 3,Loc 3,Small Supermarkets,MT
6P,1,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,1/15/2016,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 11,Ice Cream,Beverage and Refreshments,Market 6,Sector 11,Province 3,East,SKU 21,Area 3,Reg 3,Route 3,Territory 3,1,St Area 3,Loc 3,Small Supermarkets,MT
6P,3,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,1/15/2016,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 9,Ice Cream,Beverage and Refreshments,Market 6,Sector 10,Province 3,East,SKU 18,Area 3,Reg 3,Route 3,Territory 3,3,St Area 3,Loc 3,Small Supermarkets,MT
6P,3,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,1/15/2016,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 7,Ice Cream,Beverage and Refreshments,Market 5,Sector 8,Province 3,East,SKU 15,Area 3,Reg 3,Route 3,Territory 3,3,St Area 3,Loc 3,Small Supermarkets,MT
6P,9,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,1/15/2016,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 1,Skin Care,HPC,Market 1,Sector 1,Province 3,East,SKU 1,Area 3,Reg 3,Route 3,Territory 3,9,St Area 3,Loc 3,Small Supermarkets,MT
6P,5,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,2/15/2016,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 5,Hair,HPC,Market 3,Sector 5,Province 3,East,SKU 10,Area 3,Reg 3,Route 3,Territory 3,5,St Area 3,Loc 3,Small Supermarkets,MT
6P,1,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,2/15/2016,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 11,Ice Cream,Beverage and Refreshments,Market 6,Sector 11,Province 3,East,SKU 21,Area 3,Reg 3,Route 3,Territory 3,1,St Area 3,Loc 3,Small Supermarkets,MT
6P,3,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,2/15/2016,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 9,Ice Cream,Beverage and Refreshments,Market 6,Sector 10,Province 3,East,SKU 18,Area 3,Reg 3,Route 3,Territory 3,3,St Area 3,Loc 3,Small Supermarkets,MT
6P,3,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,2/15/2016,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 7,Ice Cream,Beverage and Refreshments,Market 5,Sector 8,Province 3,East,SKU 15,Area 3,Reg 3,Route 3,Territory 3,3,St Area 3,Loc 3,Small Supermarkets,MT
6P,9,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,2/15/2016,Customer 73,Outlet 73,LSW5,LSW6,MIX,Brand 1,Skin Care,HPC,Market 1,Sector 1,Province 3,East,SKU 1,Area 3,Reg 3,Route 3,Territory 3,9,St Area 3,Loc 3,Small Supermarkets,MT
5P,9,Banner 74,Supermarkets,City 4,SEAA,Commune 4,0,0.888889,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,3/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 4,West,SKU 22,Area 4,Reg 4,Route 4,Territory 4,8,St Area 4,Loc 4,Small Supermarkets,MT
5P,7,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,3/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 4,West,SKU 36,Area 4,Reg 4,Route 4,Territory 4,7,St Area 4,Loc 4,Small Supermarkets,MT
5P,5,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,3/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 4,West,SKU 31,Area 4,Reg 4,Route 4,Territory 4,5,St Area 4,Loc 4,Small Supermarkets,MT
5P,9,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,4/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 4,West,SKU 22,Area 4,Reg 4,Route 4,Territory 4,9,St Area 4,Loc 4,Small Supermarkets,MT
5P,7,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,4/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 4,West,SKU 36,Area 4,Reg 4,Route 4,Territory 4,7,St Area 4,Loc 4,Small Supermarkets,MT
5P,5,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,4/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 4,West,SKU 31,Area 4,Reg 4,Route 4,Territory 4,5,St Area 4,Loc 4,Small Supermarkets,MT
5P,9,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,5/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 4,West,SKU 22,Area 4,Reg 4,Route 4,Territory 4,9,St Area 4,Loc 4,Small Supermarkets,MT
5P,7,Banner 74,Supermarkets,City 4,SEAA,Commune 4,0,0.857143,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,5/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 4,West,SKU 36,Area 4,Reg 4,Route 4,Territory 4,6,St Area 4,Loc 4,Small Supermarkets,MT
5P,5,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,5/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 4,West,SKU 31,Area 4,Reg 4,Route 4,Territory 4,5,St Area 4,Loc 4,Small Supermarkets,MT
5P,9,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,6/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 4,West,SKU 22,Area 4,Reg 4,Route 4,Territory 4,9,St Area 4,Loc 4,Small Supermarkets,MT
5P,7,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,6/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 4,West,SKU 36,Area 4,Reg 4,Route 4,Territory 4,7,St Area 4,Loc 4,Small Supermarkets,MT
5P,5,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,6/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 4,West,SKU 31,Area 4,Reg 4,Route 4,Territory 4,5,St Area 4,Loc 4,Small Supermarkets,MT
5P,9,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,7/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 4,West,SKU 22,Area 4,Reg 4,Route 4,Territory 4,9,St Area 4,Loc 4,Small Supermarkets,MT
5P,7,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,7/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 4,West,SKU 36,Area 4,Reg 4,Route 4,Territory 4,7,St Area 4,Loc 4,Small Supermarkets,MT
5P,5,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,7/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 4,West,SKU 31,Area 4,Reg 4,Route 4,Territory 4,5,St Area 4,Loc 4,Small Supermarkets,MT
5P,9,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,8/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 4,West,SKU 22,Area 4,Reg 4,Route 4,Territory 4,9,St Area 4,Loc 4,Small Supermarkets,MT
5P,7,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,8/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 4,West,SKU 36,Area 4,Reg 4,Route 4,Territory 4,7,St Area 4,Loc 4,Small Supermarkets,MT
5P,5,Banner 74,Supermarkets,City 4,SEAA,Commune 4,0,0.8,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,8/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 4,West,SKU 31,Area 4,Reg 4,Route 4,Territory 4,4,St Area 4,Loc 4,Small Supermarkets,MT
5P,9,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,9/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 4,West,SKU 22,Area 4,Reg 4,Route 4,Territory 4,9,St Area 4,Loc 4,Small Supermarkets,MT
5P,7,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,9/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 4,West,SKU 36,Area 4,Reg 4,Route 4,Territory 4,7,St Area 4,Loc 4,Small Supermarkets,MT
5P,5,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,9/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 4,West,SKU 31,Area 4,Reg 4,Route 4,Territory 4,5,St Area 4,Loc 4,Small Supermarkets,MT
5P,9,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,10/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 4,West,SKU 22,Area 4,Reg 4,Route 4,Territory 4,9,St Area 4,Loc 4,Small Supermarkets,MT
5P,7,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,10/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 4,West,SKU 36,Area 4,Reg 4,Route 4,Territory 4,7,St Area 4,Loc 4,Small Supermarkets,MT
5P,5,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,10/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 4,West,SKU 31,Area 4,Reg 4,Route 4,Territory 4,5,St Area 4,Loc 4,Small Supermarkets,MT
5P,9,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,11/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 4,West,SKU 22,Area 4,Reg 4,Route 4,Territory 4,9,St Area 4,Loc 4,Small Supermarkets,MT
5P,7,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,11/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 4,West,SKU 36,Area 4,Reg 4,Route 4,Territory 4,7,St Area 4,Loc 4,Small Supermarkets,MT
5P,5,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,11/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 4,West,SKU 31,Area 4,Reg 4,Route 4,Territory 4,5,St Area 4,Loc 4,Small Supermarkets,MT
5P,9,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,12/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 4,West,SKU 22,Area 4,Reg 4,Route 4,Territory 4,9,St Area 4,Loc 4,Small Supermarkets,MT
5P,7,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,12/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 4,West,SKU 36,Area 4,Reg 4,Route 4,Territory 4,7,St Area 4,Loc 4,Small Supermarkets,MT
5P,5,Banner 74,Supermarkets,City 4,SEAA,Commune 4,0,0.8,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,12/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 4,West,SKU 31,Area 4,Reg 4,Route 4,Territory 4,4,St Area 4,Loc 4,Small Supermarkets,MT
5P,9,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,1/15/2016,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 4,West,SKU 22,Area 4,Reg 4,Route 4,Territory 4,9,St Area 4,Loc 4,Small Supermarkets,MT
5P,7,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,1/15/2016,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 4,West,SKU 36,Area 4,Reg 4,Route 4,Territory 4,7,St Area 4,Loc 4,Small Supermarkets,MT
5P,5,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,1/15/2016,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 4,West,SKU 31,Area 4,Reg 4,Route 4,Territory 4,5,St Area 4,Loc 4,Small Supermarkets,MT
5P,9,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,2/15/2016,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 4,West,SKU 22,Area 4,Reg 4,Route 4,Territory 4,9,St Area 4,Loc 4,Small Supermarkets,MT
5P,7,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,2/15/2016,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 4,West,SKU 36,Area 4,Reg 4,Route 4,Territory 4,7,St Area 4,Loc 4,Small Supermarkets,MT
5P,5,Banner 74,Supermarkets,City 4,SEAA,Commune 4,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,2/15/2016,Customer 73 ABC,Outlet 74,LSW7,LSW8,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 4,West,SKU 31,Area 4,Reg 4,Route 4,Territory 4,5,St Area 4,Loc 4,Small Supermarkets,MT
4P,9,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,3/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 3,East,SKU 22,Area 3,Reg 3,Route 3,Territory 3,9,St Area 3,Loc 3,Small Supermarkets,MT
4P,7,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,3/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 3,East,SKU 36,Area 3,Reg 3,Route 3,Territory 3,7,St Area 3,Loc 3,Small Supermarkets,MT
4P,5,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,3/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 3,East,SKU 31,Area 3,Reg 3,Route 3,Territory 3,5,St Area 3,Loc 3,Small Supermarkets,MT
4P,9,Banner 73,Supermarkets,City 3,SEAA,Commune 3,0,0.888889,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,4/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 3,East,SKU 22,Area 3,Reg 3,Route 3,Territory 3,8,St Area 3,Loc 3,Small Supermarkets,MT
4P,7,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,4/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 3,East,SKU 36,Area 3,Reg 3,Route 3,Territory 3,7,St Area 3,Loc 3,Small Supermarkets,MT
4P,5,Banner 73,Supermarkets,City 3,SEAA,Commune 3,0,0.8,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,4/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 3,East,SKU 31,Area 3,Reg 3,Route 3,Territory 3,4,St Area 3,Loc 3,Small Supermarkets,MT
4P,9,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,5/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 3,East,SKU 22,Area 3,Reg 3,Route 3,Territory 3,9,St Area 3,Loc 3,Small Supermarkets,MT
4P,7,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,5/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 3,East,SKU 36,Area 3,Reg 3,Route 3,Territory 3,7,St Area 3,Loc 3,Small Supermarkets,MT
4P,5,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,5/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 3,East,SKU 31,Area 3,Reg 3,Route 3,Territory 3,5,St Area 3,Loc 3,Small Supermarkets,MT
4P,9,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,6/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 3,East,SKU 22,Area 3,Reg 3,Route 3,Territory 3,9,St Area 3,Loc 3,Small Supermarkets,MT
4P,7,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,6/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 3,East,SKU 36,Area 3,Reg 3,Route 3,Territory 3,7,St Area 3,Loc 3,Small Supermarkets,MT
4P,5,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,6/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 3,East,SKU 31,Area 3,Reg 3,Route 3,Territory 3,5,St Area 3,Loc 3,Small Supermarkets,MT
4P,9,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,7/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 3,East,SKU 22,Area 3,Reg 3,Route 3,Territory 3,9,St Area 3,Loc 3,Small Supermarkets,MT
4P,7,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,7/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 3,East,SKU 36,Area 3,Reg 3,Route 3,Territory 3,7,St Area 3,Loc 3,Small Supermarkets,MT
4P,5,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,7/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 3,East,SKU 31,Area 3,Reg 3,Route 3,Territory 3,5,St Area 3,Loc 3,Small Supermarkets,MT
4P,9,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,8/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 3,East,SKU 22,Area 3,Reg 3,Route 3,Territory 3,9,St Area 3,Loc 3,Small Supermarkets,MT
4P,7,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,8/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 3,East,SKU 36,Area 3,Reg 3,Route 3,Territory 3,7,St Area 3,Loc 3,Small Supermarkets,MT
4P,5,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,8/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 3,East,SKU 31,Area 3,Reg 3,Route 3,Territory 3,5,St Area 3,Loc 3,Small Supermarkets,MT
4P,9,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,9/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 12,Deodorants,HPC,Market 7,Sector 12,Province 3,East,SKU 22,Area 3,Reg 3,Route 3,Territory 3,9,St Area 3,Loc 3,Small Supermarkets,MT
4P,7,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,9/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 17,Dressings,Foods,Market 11,Sector 19,Province 3,East,SKU 36,Area 3,Reg 3,Route 3,Territory 3,7,St Area 3,Loc 3,Small Supermarkets,MT
4P,5,Banner 73,Supermarkets,City 3,SEAA,Commune 3,1,1,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,9/15/2015,Customer 73,Outlet 75,LSW5,LSW6,MIX,Brand 15,Oral Care,HPC,Market 9,Sector 16,Province 3,East,SKU 31,Area 3,Reg 3,Route 3,Territory 3,5,St Area 3,Loc 3,Small Supermarkets,MT
