4P/5P/6P,Banner,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Outlet classification,Product category,Product division,Province,Region,SP Compliance,SP Compliant,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Total Audited,Trade Format
4P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,5/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mom & Pop,21,DT
4P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,6/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mom & Pop,21,DT
4P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,7/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mom & Pop,21,DT
4P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,8/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mom & Pop,21,DT
4P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,9/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mom & Pop,21,DT
4P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,10/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,0,19,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mom & Pop,21,DT
4P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,11/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mom & Pop,21,DT
4P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,12/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mom & Pop,21,DT
4P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,1/15/2016,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mom & Pop,21,DT
4P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,2/15/2016,,,LSW55,LSW66,MIX,,,Province 3,East,0,20,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mom & Pop,21,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,3/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,3/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,3/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,1,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,3/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,0,13,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,14,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,4/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,4/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,4/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,1,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,4/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,14,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,14,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,5/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,5/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,5/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,1,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,5/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,14,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,14,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,6/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,6/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,0,2,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,6/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,1,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,6/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,14,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,14,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,7/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,7/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,0,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,7/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,1,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,7/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,14,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,14,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,8/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,8/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,8/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,1,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,8/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,14,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,14,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,9/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,0,2,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,9/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,9/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,1,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,9/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,0,12,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,14,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,10/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,10/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,10/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,1,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,10/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,14,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,14,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,11/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,11/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,11/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,1,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,11/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,14,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,14,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,12/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,12/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,12/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,1,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,12/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,14,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,14,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,1/15/2016,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,1/15/2016,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,1/15/2016,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,1,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,1/15/2016,,,LSW55,LSW66,MIX,,,Province 3,East,1,14,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,14,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,2/15/2016,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,2/15/2016,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,3,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,2/15/2016,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,1,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,2/15/2016,,,LSW55,LSW66,MIX,,,Province 3,East,1,14,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,14,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,3/15/2015,,,LSW77,LSW88,MIX,,,Province 4,West,1,21,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Market Stalls,21,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,4/15/2015,,,LSW77,LSW88,MIX,,,Province 4,West,1,21,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Market Stalls,21,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,5/15/2015,,,LSW77,LSW88,MIX,,,Province 4,West,1,21,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Market Stalls,21,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,6/15/2015,,,LSW77,LSW88,MIX,,,Province 4,West,1,21,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Market Stalls,21,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,7/15/2015,,,LSW77,LSW88,MIX,,,Province 4,West,1,21,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Market Stalls,21,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,8/15/2015,,,LSW77,LSW88,MIX,,,Province 4,West,0,20,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Market Stalls,21,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,9/15/2015,,,LSW77,LSW88,MIX,,,Province 4,West,1,21,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Market Stalls,21,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,10/15/2015,,,LSW77,LSW88,MIX,,,Province 4,West,0,20,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Market Stalls,21,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,11/15/2015,,,LSW77,LSW88,MIX,,,Province 4,West,0,20,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Market Stalls,21,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,12/15/2015,,,LSW77,LSW88,MIX,,,Province 4,West,1,21,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Market Stalls,21,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,1/15/2016,,,LSW77,LSW88,MIX,,,Province 4,West,0,20,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Market Stalls,21,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,2/15/2016,,,LSW77,LSW88,MIX,,,Province 4,West,0,20,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Market Stalls,21,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,3/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,21,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,4/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,0,20,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,21,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,5/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,21,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,6/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,21,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,7/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,0,20,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,21,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,8/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,0,20,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,21,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,9/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,21,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,10/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,21,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,11/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,21,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,12/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,0,17,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,21,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,1/15/2016,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,21,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,2/15/2016,,,LSW55,LSW66,MIX,,,Province 3,East,1,21,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Market Stalls,21,DT
6P,Banner 106,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,3/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Independent (family grocer),3,DT
6P,Banner 106,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,3/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Independent (family grocer),3,DT
6P,Banner 106,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,3/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Independent (family grocer),1,DT
6P,Banner 106,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,3/15/2015,,,LSW55,LSW66,MIX,,,Province 3,East,1,14,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Independent (family grocer),14,DT
6P,Banner 106,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,4/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Independent (family grocer),3,DT
6P,Banner 106,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,4/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,3,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Independent (family grocer),3,DT
6P,Banner 106,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,4/15/2015,,,LSW55,LSW66,MIX,Ice Cream,Beverages & Refreshments,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Independent (family grocer),1,DT
