4P/5P/6P,Banner,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Modified Product Category,Outlet classification,PSP Compliance,Place Compliance,Product category,Product division,Province,Region,SOS Compliance,SSP Compliance,Sales area,Sales region,Sales route,Sales territory,Secondary Customer,Store area,Store location,Store type,Subchannel,Sum of PLACE - PSP - Answer,Sum of PLACE - PSP - Question,Sum of PLACE - SSP - Answer,Sum of PLACE - SSP - Question,Sum of Total Category Length,Sum of Unilever Length,Trade Format
6P,Banner 76,Discounters,City 3,SEAA,Commune 3,Category,Philippines,Customer 76,Local,Key Customer,DTRT 3,10/15/2015,Customer 76,Outlet 76,LSW5,LSW6,Skin Care,MIX,1,0,Skin Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Discounters,3,4,3,4,5,1.6,MT
6P,Banner 79,Club,City 3,SEAA,Commune 3,Category,Philippines,Customer 79,Global,Key Customer,DTRT 3,10/15/2015,Customer 79,Outlet 79,LSW5,LSW6,Skin Care,MIX,1,1,Skin Care,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Club,4,4,4,4,7,2.59,MT
6P,Banner 82,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 82,Others,Others,DTRT 3,10/15/2015,Customer 82,Outlet 82,LSW5,LSW6,Skin Care,MIX,1,1,Skin Care,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),E-Commerce,4,4,4,4,2,0.76,MT
6P,Banner 85,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 85,Global,Key Customer,DTRT 3,10/15/2015,Customer 85,Outlet 85,LSW5,LSW6,Skin Care,MIX,1,1,Skin Care,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Direct Sales,4,4,4,4,7,2.59,MT
6P,Banner 88,Drug,City 3,SEAA,Commune 3,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,10/15/2015,Customer 88,Outlet 88,LSW5,LSW6,Skin Care,MIX,1,1,Skin Care,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Mainstream Drugstores,4,4,4,4,6,1.86,MT
6P,Banner 91,MT,City 3,SEAA,Commune 3,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,10/15/2015,Customer 91,Outlet 91,LSW5,LSW6,Skin Care,MIX,1,0,Skin Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Mass Merchandiser (non-grocery),3,4,3,4,4,1.28,MT
6P,Banner 106,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,10/15/2015,(blank),Outlet 106,LSW55,LSW66,Outlet 106,MIX,1,1,Hair,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 106,St Area 3,Loc 3,(blank),Independent (family grocer),4,4,4,4,5,1.7,DT
6P,Banner 106,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,10/15/2015,(blank),Outlet 106,LSW55,LSW66,Outlet 106,MIX,0,0,Skin Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 106,St Area 3,Loc 3,(blank),Independent (family grocer),2,4,2,4,5,1.65,DT
6P,Banner 109,Convenience,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 109,Regional,Key Customer,DTRT 3,10/15/2015,(blank),Outlet 109,LSW55,LSW66,Outlet 109,MIX,1,1,Hair,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 109,St Area 3,Loc 3,(blank),Convenience,4,4,4,4,8,2.96,DT
6P,Banner 109,Convenience,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 109,Regional,Key Customer,DTRT 3,10/15/2015,(blank),Outlet 109,LSW55,LSW66,Outlet 109,MIX,1,1,Skin Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 109,St Area 3,Loc 3,(blank),Convenience,4,4,4,4,3,1.11,DT
6P,Banner 112,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 112,Others,Others,DTRT 3,10/15/2015,(blank),Outlet 112,LSW55,LSW66,Outlet 112,MIX,0,0,Hair,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 112,St Area 3,Loc 3,(blank),Mobile / Vending / Kiosks,3,4,3,4,5,1.8,DT
6P,Banner 112,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 112,Others,Others,DTRT 3,10/15/2015,(blank),Outlet 112,LSW55,LSW66,Outlet 112,MIX,1,1,Skin Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 112,St Area 3,Loc 3,(blank),Mobile / Vending / Kiosks,4,4,4,4,2,0.78,DT
5P,Banner 68,Hypermarket,City 4,SEAA,Commune 4,Category,Philippines,Customer 67,Global,Key Customer,DTRT 4,10/15/2015,Customer 67 ABC,Outlet 68,LSW7,LSW8,Deodorants,MIX,1,0,Deodorants,HPC,Province 4,West,1,0,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Hypermarket,3,4,3,4,6,2.04,MT
5P,Banner 71,Supermarkets,City 4,SEAA,Commune 4,Category,Philippines,Customer 70,Others,Others,DTRT 4,10/15/2015,Customer 70 ABC,Outlet 71,LSW7,LSW8,Deodorants,MIX,1,1,Deodorants,HPC,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Large Supermarkets,4,4,4,4,2,0.8,MT
5P,Banner 74,Supermarkets,City 4,SEAA,Commune 4,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,10/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,Deodorants,MIX,1,1,Deodorants,HPC,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Small Supermarkets,4,4,4,4,2,0.7,MT
5P,Banner 77,Discounters,City 4,SEAA,Commune 4,Category,Philippines,Customer 76,Local,Key Customer,DTRT 4,10/15/2015,Customer 76  ABC,Outlet 77,LSW7,LSW8,Deodorants,MIX,1,1,Deodorants,HPC,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Discounters,4,4,4,4,9,3.6,MT
5P,Banner 80,Club,City 4,SEAA,Commune 4,Category,Philippines,Customer 79,Global,Key Customer,DTRT 4,10/15/2015,Customer 79  ABC,Outlet 80,LSW7,LSW8,Deodorants,MIX,1,1,Deodorants,HPC,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Club,4,4,4,4,3,1.08,MT
5P,Banner 83,Direct,City 4,SEAA,Commune 4,Category,Philippines,Customer 82,Others,Others,DTRT 4,10/15/2015,Customer 82  ABC,Outlet 83,LSW7,LSW8,Deodorants,MIX,1,1,Deodorants,HPC,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),E-Commerce,4,4,4,4,3,1.02,MT
5P,Banner 86,Direct,City 4,SEAA,Commune 4,Category,Philippines,Customer 85,Global,Key Customer,DTRT 4,10/15/2015,Customer 85  ABC,Outlet 86,LSW7,LSW8,Deodorants,MIX,1,0,Deodorants,HPC,Province 4,West,1,0,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Direct Sales,3,4,3,4,7,2.24,MT
5P,Banner 89,Drug,City 4,SEAA,Commune 4,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 4,10/15/2015,Customer 88  ABC,Outlet 89,LSW7,LSW8,Deodorants,MIX,1,1,Deodorants,HPC,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Mainstream Drugstores,4,4,4,4,6,2.16,MT
5P,Banner 92,MT,City 4,SEAA,Commune 4,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,10/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,Deodorants,MIX,1,1,Deodorants,HPC,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Mass Merchandiser (non-grocery),4,4,4,4,10,4,MT
5P,Banner 68,Hypermarket,City 4,SEAA,Commune 4,Category,Philippines,Customer 67,Global,Key Customer,DTRT 4,10/15/2015,Customer 67 ABC,Outlet 68,LSW7,LSW8,Dressings,MIX,1,0,Dressings,Foods,Province 4,West,0,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Hypermarket,4,4,4,4,3,0.93,MT
5P,Banner 71,Supermarkets,City 4,SEAA,Commune 4,Category,Philippines,Customer 70,Others,Others,DTRT 4,10/15/2015,Customer 70 ABC,Outlet 71,LSW7,LSW8,Dressings,MIX,1,0,Dressings,Foods,Province 4,West,0,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Large Supermarkets,4,4,4,4,2,0.7,MT
5P,Banner 74,Supermarkets,City 4,SEAA,Commune 4,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,10/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,Dressings,MIX,1,1,Dressings,Foods,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Small Supermarkets,4,4,4,4,6,2.28,MT
5P,Banner 77,Discounters,City 4,SEAA,Commune 4,Category,Philippines,Customer 76,Local,Key Customer,DTRT 4,10/15/2015,Customer 76  ABC,Outlet 77,LSW7,LSW8,Dressings,MIX,1,1,Dressings,Foods,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Discounters,4,4,4,4,9,3.6,MT
5P,Banner 80,Club,City 4,SEAA,Commune 4,Category,Philippines,Customer 79,Global,Key Customer,DTRT 4,10/15/2015,Customer 79  ABC,Outlet 80,LSW7,LSW8,Dressings,MIX,1,0,Dressings,Foods,Province 4,West,1,0,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Club,3,4,3,4,5,1.5,MT
5P,Banner 83,Direct,City 4,SEAA,Commune 4,Category,Philippines,Customer 82,Others,Others,DTRT 4,10/15/2015,Customer 82  ABC,Outlet 83,LSW7,LSW8,Dressings,MIX,1,1,Dressings,Foods,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),E-Commerce,4,4,4,4,2,0.78,MT
5P,Banner 86,Direct,City 4,SEAA,Commune 4,Category,Philippines,Customer 85,Global,Key Customer,DTRT 4,10/15/2015,Customer 85  ABC,Outlet 86,LSW7,LSW8,Dressings,MIX,1,1,Dressings,Foods,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Direct Sales,4,4,4,4,3,1.2,MT
5P,Banner 89,Drug,City 4,SEAA,Commune 4,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 4,10/15/2015,Customer 88  ABC,Outlet 89,LSW7,LSW8,Dressings,MIX,0,0,Dressings,Foods,Province 4,West,1,0,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Mainstream Drugstores,2,4,2,4,8,3.2,MT
5P,Banner 92,MT,City 4,SEAA,Commune 4,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,10/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,Dressings,MIX,0,0,Dressings,Foods,Province 4,West,1,0,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Mass Merchandiser (non-grocery),2,4,2,4,5,1.9,MT
5P,Banner 68,Hypermarket,City 4,SEAA,Commune 4,Category,Philippines,Customer 67,Global,Key Customer,DTRT 4,10/15/2015,Customer 67 ABC,Outlet 68,LSW7,LSW8,Oral Care,MIX,1,1,Oral Care,HPC,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Hypermarket,4,4,4,4,9,2.97,MT
5P,Banner 71,Supermarkets,City 4,SEAA,Commune 4,Category,Philippines,Customer 70,Others,Others,DTRT 4,10/15/2015,Customer 70 ABC,Outlet 71,LSW7,LSW8,Oral Care,MIX,1,0,Oral Care,HPC,Province 4,West,0,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Large Supermarkets,4,4,4,4,4,1.44,MT
5P,Banner 74,Supermarkets,City 4,SEAA,Commune 4,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 4,10/15/2015,Customer 73 ABC,Outlet 74,LSW7,LSW8,Oral Care,MIX,1,1,Oral Care,HPC,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Small Supermarkets,4,4,4,4,4,1.44,MT
5P,Banner 77,Discounters,City 4,SEAA,Commune 4,Category,Philippines,Customer 76,Local,Key Customer,DTRT 4,10/15/2015,Customer 76  ABC,Outlet 77,LSW7,LSW8,Oral Care,MIX,1,1,Oral Care,HPC,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Discounters,4,4,4,4,8,2.96,MT
5P,Banner 80,Club,City 4,SEAA,Commune 4,Category,Philippines,Customer 79,Global,Key Customer,DTRT 4,10/15/2015,Customer 79  ABC,Outlet 80,LSW7,LSW8,Oral Care,MIX,1,0,Oral Care,HPC,Province 4,West,1,0,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Club,3,4,3,4,7,2.8,MT
5P,Banner 83,Direct,City 4,SEAA,Commune 4,Category,Philippines,Customer 82,Others,Others,DTRT 4,10/15/2015,Customer 82  ABC,Outlet 83,LSW7,LSW8,Oral Care,MIX,1,0,Oral Care,HPC,Province 4,West,0,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),E-Commerce,4,4,4,4,10,3.4,MT
5P,Banner 86,Direct,City 4,SEAA,Commune 4,Category,Philippines,Customer 85,Global,Key Customer,DTRT 4,10/15/2015,Customer 85  ABC,Outlet 86,LSW7,LSW8,Oral Care,MIX,1,1,Oral Care,HPC,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Direct Sales,4,4,4,4,3,1.17,MT
5P,Banner 89,Drug,City 4,SEAA,Commune 4,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 4,10/15/2015,Customer 88  ABC,Outlet 89,LSW7,LSW8,Oral Care,MIX,1,1,Oral Care,HPC,Province 4,West,1,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Mainstream Drugstores,4,4,4,4,7,2.73,MT
5P,Banner 92,MT,City 4,SEAA,Commune 4,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,10/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,Oral Care,MIX,1,0,Oral Care,HPC,Province 4,West,0,1,Area 4,Reg 4,Route 4,Territory 4,(blank),St Area 4,Loc 4,(blank),Mass Merchandiser (non-grocery),4,4,4,4,7,2.24,MT
5P,Banner 101,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 100,Others,Others,DTRT 4,10/15/2015,(blank),Outlet 101,LSW77,LSW88,Outlet 101,MIX,1,1,Dressings,Foods,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 101,St Area 4,Loc 4,(blank),Mom & Pop,4,4,4,4,4,1.4,DT
5P,Banner 101,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 100,Others,Others,DTRT 4,10/15/2015,(blank),Outlet 101,LSW77,LSW88,Outlet 101,MIX,1,1,Deodorants,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 101,St Area 4,Loc 4,(blank),Mom & Pop,4,4,4,4,8,2.8,DT
5P,Banner 101,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 100,Others,Others,DTRT 4,10/15/2015,(blank),Outlet 101,LSW77,LSW88,Outlet 101,MIX,1,1,Oral Care,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 101,St Area 4,Loc 4,(blank),Mom & Pop,4,4,4,4,4,1.44,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 104,LSW77,LSW88,Outlet 104,MIX,1,1,Dressings,Foods,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 104,St Area 4,Loc 4,(blank),Market Stalls,4,4,4,4,8,3.04,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 104,LSW77,LSW88,Outlet 104,MIX,1,1,Deodorants,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 104,St Area 4,Loc 4,(blank),Market Stalls,4,4,4,4,7,2.8,DT
5P,Banner 104,Small / Open Markets,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 104,LSW77,LSW88,Outlet 104,MIX,0,0,Oral Care,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 104,St Area 4,Loc 4,(blank),Market Stalls,3,4,3,4,2,0.66,DT
5P,Banner 107,Independent (family grocer),City 4,SEAA,Commune 4,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 107,LSW77,LSW88,Outlet 107,MIX,1,1,Dressings,Foods,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 107,St Area 4,Loc 4,(blank),Independent (family grocer),4,4,4,4,7,2.59,DT
5P,Banner 107,Independent (family grocer),City 4,SEAA,Commune 4,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 107,LSW77,LSW88,Outlet 107,MIX,0,0,Deodorants,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 107,St Area 4,Loc 4,(blank),Independent (family grocer),3,4,3,4,6,2.34,DT
5P,Banner 107,Independent (family grocer),City 4,SEAA,Commune 4,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 107,LSW77,LSW88,Outlet 107,MIX,1,1,Oral Care,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 107,St Area 4,Loc 4,(blank),Independent (family grocer),4,4,4,4,6,1.86,DT
5P,Banner 110,Convenience,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 109,Regional,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 110,LSW77,LSW88,Outlet 110,MIX,1,1,Dressings,Foods,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 110,St Area 4,Loc 4,(blank),Convenience,4,4,4,4,10,3.3,DT
5P,Banner 110,Convenience,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 109,Regional,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 110,LSW77,LSW88,Outlet 110,MIX,1,1,Deodorants,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 110,St Area 4,Loc 4,(blank),Convenience,4,4,4,4,2,0.78,DT
5P,Banner 110,Convenience,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 109,Regional,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 110,LSW77,LSW88,Outlet 110,MIX,1,1,Oral Care,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 110,St Area 4,Loc 4,(blank),Convenience,4,4,4,4,6,2.16,DT
5P,Banner 113,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 112,Others,Others,DTRT 4,10/15/2015,(blank),Outlet 113,LSW77,LSW88,Outlet 113,MIX,1,1,Dressings,Foods,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 113,St Area 4,Loc 4,(blank),Mobile / Vending / Kiosks,4,4,4,4,10,3.9,DT
5P,Banner 113,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 112,Others,Others,DTRT 4,10/15/2015,(blank),Outlet 113,LSW77,LSW88,Outlet 113,MIX,1,1,Deodorants,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 113,St Area 4,Loc 4,(blank),Mobile / Vending / Kiosks,4,4,4,4,2,0.74,DT
5P,Banner 113,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 112,Others,Others,DTRT 4,10/15/2015,(blank),Outlet 113,LSW77,LSW88,Outlet 113,MIX,0,0,Oral Care,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 113,St Area 4,Loc 4,(blank),Mobile / Vending / Kiosks,3,4,3,4,3,1.14,DT
5P,Banner 116,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 115,Global,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 116,LSW77,LSW88,Outlet 116,MIX,0,0,Dressings,Foods,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 116,St Area 4,Loc 4,(blank),Hotels / Restaurants,2,4,2,4,8,2.8,DT
5P,Banner 116,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 115,Global,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 116,LSW77,LSW88,Outlet 116,MIX,1,1,Deodorants,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 116,St Area 4,Loc 4,(blank),Hotels / Restaurants,4,4,4,4,4,1.24,DT
5P,Banner 116,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 115,Global,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 116,LSW77,LSW88,Outlet 116,MIX,0,0,Oral Care,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 116,St Area 4,Loc 4,(blank),Hotels / Restaurants,3,4,3,4,3,0.99,DT
5P,Banner 119,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 118,Regional,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 119,LSW77,LSW88,Outlet 119,MIX,0,0,Dressings,Foods,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 119,St Area 4,Loc 4,(blank),Cafes / Snack Bars / Bars,3,4,3,4,3,0.96,DT
5P,Banner 119,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 118,Regional,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 119,LSW77,LSW88,Outlet 119,MIX,0,0,Deodorants,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 119,St Area 4,Loc 4,(blank),Cafes / Snack Bars / Bars,3,4,3,4,10,3.8,DT
5P,Banner 119,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 118,Regional,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 119,LSW77,LSW88,Outlet 119,MIX,0,0,Oral Care,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 119,St Area 4,Loc 4,(blank),Cafes / Snack Bars / Bars,3,4,3,4,10,3.2,DT
5P,Banner 122,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 121,Local,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 122,LSW77,LSW88,Outlet 122,MIX,1,1,Dressings,Foods,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 122,St Area 4,Loc 4,(blank),SCO Services / Companies / Offices,4,4,4,4,8,2.48,DT
5P,Banner 122,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 121,Local,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 122,LSW77,LSW88,Outlet 122,MIX,1,1,Deodorants,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 122,St Area 4,Loc 4,(blank),SCO Services / Companies / Offices,4,4,4,4,10,3.6,DT
5P,Banner 122,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 121,Local,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 122,LSW77,LSW88,Outlet 122,MIX,1,1,Oral Care,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 122,St Area 4,Loc 4,(blank),SCO Services / Companies / Offices,4,4,4,4,6,1.86,DT
5P,Banner 125,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 124,Others,Others,DTRT 4,10/15/2015,(blank),Outlet 125,LSW77,LSW88,Outlet 125,MIX,1,1,Dressings,Foods,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 125,St Area 4,Loc 4,(blank),Travel & Leisure,4,4,4,4,4,1.48,DT
5P,Banner 125,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 124,Others,Others,DTRT 4,10/15/2015,(blank),Outlet 125,LSW77,LSW88,Outlet 125,MIX,0,0,Deodorants,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 125,St Area 4,Loc 4,(blank),Travel & Leisure,3,4,3,4,2,0.68,DT
5P,Banner 125,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 124,Others,Others,DTRT 4,10/15/2015,(blank),Outlet 125,LSW77,LSW88,Outlet 125,MIX,0,0,Oral Care,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 125,St Area 4,Loc 4,(blank),Travel & Leisure,2,4,2,4,7,2.59,DT
5P,Banner 128,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 127,Global,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 128,LSW77,LSW88,Outlet 128,MIX,1,1,Dressings,Foods,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 128,St Area 4,Loc 4,(blank),Institutions education / government,4,4,4,4,3,1.11,DT
5P,Banner 128,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 127,Global,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 128,LSW77,LSW88,Outlet 128,MIX,0,0,Deodorants,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 128,St Area 4,Loc 4,(blank),Institutions education / government,2,4,2,4,6,1.92,DT
5P,Banner 128,On Premise / Impulse,City 4,SEAA,Commune 4,Outlet,Philippines,Customer 127,Global,Key Customer,DTRT 4,10/15/2015,(blank),Outlet 128,LSW77,LSW88,Outlet 128,MIX,1,1,Oral Care,HPC,Province 4,West,0,0,Area 4,Reg 4,Route 4,Territory 4,Outlet 128,St Area 4,Loc 4,(blank),Institutions education / government,4,4,4,4,8,2.48,DT
