4P/5P/6P,Banner,Channel,City,Cluster,Commune,Compliance,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Outlet classification,Product category,Product division,Province,Region,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Total Category Length,Trade Format,Unilever Length
4P,Banner 7,Supermarkets,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 7,Regional,Key Customer,DTRT 1,2/15/2016,Customer 7,Outlet 9,LSW1,LSW2,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Small Supermarkets,8,MT,2.64
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,3/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,8,MT,2.56
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,3/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,5,MT,2
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,3/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,7,MT,2.8
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,4/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,3,MT,1.05
4P,Banner 88,Drug,City 3,SEAA,Commune 3,0,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,4/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,2,MT,0.62
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,4/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,10,MT,3.3
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,5/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,5,MT,1.8
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,5/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,10,MT,4
4P,Banner 88,Drug,City 3,SEAA,Commune 3,0,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,5/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,10,MT,3.1
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,6/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,7,MT,2.52
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,6/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,2,MT,0.64
4P,Banner 88,Drug,City 3,SEAA,Commune 3,0,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,6/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,6,MT,1.8
4P,Banner 88,Drug,City 3,SEAA,Commune 3,0,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,7/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,5,MT,1.5
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,7/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,10,MT,4
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,7/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,8,MT,2.72
4P,Banner 88,Drug,City 3,SEAA,Commune 3,0,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,8/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,10,MT,3.1
4P,Banner 88,Drug,City 3,SEAA,Commune 3,0,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,8/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,7,MT,2.1
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,8/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,4,MT,1.52
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,9/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,3,MT,1.05
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,9/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,3,MT,1.08
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,9/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,10,MT,3.3
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,10/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,8,MT,3.04
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,10/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,3,MT,1.05
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,10/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,8,MT,2.88
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,11/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,9,MT,3.33
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,11/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,6,MT,1.98
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,11/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,2,MT,0.74
4P,Banner 88,Drug,City 3,SEAA,Commune 3,0,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,12/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,3,MT,0.93
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,12/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,10,MT,3.4
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,12/15/2015,Customer 88,Outlet 90,LSW5,LSW6,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,4,MT,1.44
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,1/15/2016,Customer 88,Outlet 90,LSW5,LSW6,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,6,MT,1.98
4P,Banner 88,Drug,City 3,SEAA,Commune 3,0,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,1/15/2016,Customer 88,Outlet 90,LSW5,LSW6,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,6,MT,1.86
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,1/15/2016,Customer 88,Outlet 90,LSW5,LSW6,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,6,MT,1.98
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,2/15/2016,Customer 88,Outlet 90,LSW5,LSW6,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,6,MT,1.92
4P,Banner 88,Drug,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,2/15/2016,Customer 88,Outlet 90,LSW5,LSW6,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,6,MT,2.22
4P,Banner 88,Drug,City 3,SEAA,Commune 3,0,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,2/15/2016,Customer 88,Outlet 90,LSW5,LSW6,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,10,MT,3.1
6P,Banner 91,MT,City 3,SEAA,Commune 3,0,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,3/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),8,MT,2.48
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,3/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),5,MT,1.85
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,4/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),6,MT,2.28
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,4/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),4,MT,1.36
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,5/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),8,MT,3.12
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,5/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),8,MT,2.72
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,6/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),2,MT,0.66
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,6/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),10,MT,3.3
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,7/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),2,MT,0.72
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,7/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),5,MT,1.85
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,8/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),3,MT,1.08
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,8/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),9,MT,3.24
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,9/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),9,MT,3.6
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,9/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),8,MT,2.72
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,10/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),7,MT,2.66
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,10/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),4,MT,1.28
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,11/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),8,MT,3.2
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,11/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),6,MT,1.98
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,12/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),6,MT,2.1
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,12/15/2015,Customer 91,Outlet 91,LSW5,LSW6,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),5,MT,1.8
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,1/15/2016,Customer 91,Outlet 91,LSW5,LSW6,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),9,MT,2.97
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,1/15/2016,Customer 91,Outlet 91,LSW5,LSW6,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),6,MT,2.22
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,2/15/2016,Customer 91,Outlet 91,LSW5,LSW6,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),9,MT,3.06
6P,Banner 91,MT,City 3,SEAA,Commune 3,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,2/15/2016,Customer 91,Outlet 91,LSW5,LSW6,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),6,MT,1.98
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,3/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Deodorants,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),4,MT,1.6
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,3/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Dressings,Foods,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),10,MT,3.2
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,3/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Oral Care,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),4,MT,1.4
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,4/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Deodorants,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),5,MT,1.9
5P,Banner 92,MT,City 4,SEAA,Commune 4,0,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,4/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Dressings,Foods,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),10,MT,3
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,4/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Oral Care,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),5,MT,1.8
5P,Banner 92,MT,City 4,SEAA,Commune 4,0,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,5/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Deodorants,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),10,MT,3
5P,Banner 92,MT,City 4,SEAA,Commune 4,0,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,5/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Dressings,Foods,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),3,MT,0.93
5P,Banner 92,MT,City 4,SEAA,Commune 4,0,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,5/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Oral Care,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),9,MT,2.79
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,6/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Deodorants,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),2,MT,0.68
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,6/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Dressings,Foods,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),7,MT,2.45
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,6/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Oral Care,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),6,MT,2.1
5P,Banner 92,MT,City 4,SEAA,Commune 4,0,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,7/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Deodorants,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),9,MT,2.79
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,7/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Dressings,Foods,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),9,MT,3.33
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,7/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Oral Care,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),5,MT,1.65
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,8/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Deodorants,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),7,MT,2.45
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,8/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Dressings,Foods,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),2,MT,0.76
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,8/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Oral Care,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),7,MT,2.24
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,9/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Deodorants,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),6,MT,2.04
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,9/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Dressings,Foods,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),5,MT,1.75
5P,Banner 92,MT,City 4,SEAA,Commune 4,1,Category,Philippines,Customer 91,Local,Key Customer,DTRT 4,9/15/2015,Customer 91  ABC,Outlet 92,LSW7,LSW8,MIX,Oral Care,HPC,Province 4,West,Area 4,Reg 4,Route 4,Territory 4,St Area 4,Loc 4,Mass Merchandiser (non-grocery),4,MT,1.32
